    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.02s
     Running `target/debug/func-analysis analyze target/debug/ex-glibc`
Binary: target/debug/ex-glibc
Type: dynamic
Functions: 520
Functions size: 253995 bytes
.text size: 257360 bytes
Coverage: 98.7%

FUNCTION                                       SIZE      ADDRESS     REFS
--------------------------------------------------------------------------
_Unwind_Resume                                    0      0x530f0      122
_ZN3std12backtrace_rs9symbolize5gimli...        897      0x177d0       52
_ZN5alloc7raw_vec20RawVecInner$LT$A$G...        130      0x37120       42
_ZN5gimli4read4unit18Attribute$LT$R$G...       1511      0x39fa0       30
_ZN4core3ptr181drop_in_place$LT$core....        159      0x27dd0       15
_ZN3std2io5Write9write_fmt17haf552724...        301      0x1fc90       14
_ZN5alloc7raw_vec20RawVecInner$LT$A$G...        188      0x37060       14
_ZN4core3ptr81drop_in_place$LT$core.....         11      0x28a90       12
_ZN14rustc_demangle2v07Printer10print...       1759      0x464ac       12
_ZN5gimli4read5dwarf14Dwarf$LT$R$GT$1...        485      0x3d5e0       11
_ZN4core3ptr42drop_in_place$LT$std..i...        164      0x28200       11
_ZN4core3ptr69drop_in_place$LT$std..b...         31      0x28730       11
_ZN5gimli4read4unit32AttributeValue$L...        100      0x3a8c0       10
_ZN14rustc_demangle2v07Printer11print...       1652      0x47452        9
_ZN81_$LT$core..str..pattern..CharSea...        517      0x401d0        8
_ZN14rustc_demangle2v07Printer10print...       1339      0x46b8b        8
_ZN4core3ptr130drop_in_place$LT$addr2...        221      0x27630        8
_ZN5gimli4read4unit15parse_attribute1...       5204      0x385e0        8
_ZN4core3ptr129drop_in_place$LT$addr2...        243      0x274e0        7
_ZN14rustc_demangle2v06Parser14opt_in...        116      0x46191        6
_ZN4core3str7pattern13simd_contains28...        240      0x28fa0        6
_ZN4core3str21_$LT$impl$u20$str$GT$18...        383      0x28e20        6
_ZN14rustc_demangle2v06Parser5ident17...        474      0x46205        5
_ZN14rustc_demangle2v06Parser10intege...        162      0x46050        5
_ZN3std12backtrace_rs9symbolize5gimli...        758      0x17d00        5
_ZN14rustc_demangle2v07Printer25print...        241      0x4898d        5
_ZN4core3ptr70drop_in_place$LT$std..b...        221      0x28760        5
_ZN3std12backtrace_rs9symbolize5gimli...       1860      0x17080        5
_ZN4core3ptr60drop_in_place$LT$gimli....        221      0x28520        4
_ZN14rustc_demangle2v06Parser7backref...        126      0x463df        4
